	Coef_liver	Coef_artery_aorta	Coef_artery_coronary	Coef_brain_cortex	Coef_brain_cerebellum	Coef_adrenal_gland	Coef_heart_atrial_appendage	Coef_pituitary	Coef_adipose_subcutaneous	Coef_lung	Coef_skin_sun_exposed_lower_leg	Coef_nerve_tibial	Gene_name
ENSG00000244694.7		0.15202628414534727	0.5458969287757941			0.3881611270457629	0.5726158940452576	0.3247866984867437	0.42426092865114146	0.3907570626794323	0.7573182954458327	0.3637576868701197	PTCHD4
ENSG00000131080.14				0.24902771485869454		0.28495855857796404	0.6094506484688911	0.3073774167127506	0.3130623352112017	0.6958225626276889		0.38890213176766897	EDA2R
ENSG00000048540.14		0.12982492923689581	0.6144350745329201				0.38271726723441146		1.0813245528711926		1.0401852897701696		LMO3
ENSG00000178163.7		-0.08010503622155125						-0.1698622978496942	-0.6944826668418069	-0.7393868360602908		-0.3834165126324108	ZNF518B
ENSG00000228526.6				0.15649596371647587			0.3251719240902095		0.4135081817342219			0.17576302240991093	MIR34AHG
ENSG00000172667.10									0.3109673798972987	0.23443582196970536	0.400233840478794	0.21244142977514985	ZMAT3
ENSG00000244681.1		0.14581741327111372					0.5616889987532842			0.4409086293157244		0.36704772708146927	MTHFD2P1
ENSG00000185088.13				0.11849428789359472				0.3179266252905549		0.33690051111884783		0.18051601727474811	RPS27L
ENSG00000163071.10				0.1658342941561044		0.20975150861967262	0.297226104465427						SPATA18
ENSG00000250337.5						0.2882816435878678	0.5311312634610077					0.18703780833126407	PURPL
ENSG00000080224.17							0.4682051539358116			0.3157135189367934		0.1813351205472792	EPHA6
ENSG00000237978.5							0.46453546889444786	0.19768540778049465		0.20644500658257411			KCNMB2-AS1
ENSG00000112319.17									1.5107518446546986	0.2325640630694032		0.22853842736266045	EYA4
ENSG00000278530.4		0.11120743506898867					0.18333188829653327		0.4520611242755007				CHMP1B2P
ENSG00000163564.14									0.30458539677636		0.38871055398281174	0.31619353845518683	PYHIN1
ENSG00000196109.6									0.2866101881382247	0.2968260846718496		0.3887387693067647	ZNF676
ENSG00000147889.17									0.27245861498609497	0.6018960236910454	0.3047215937501366		CDKN2A
