	Coef_adipose_subcutaneous	Gene_name
ENSG00000112319.17	1.5096110658458608	EYA4
ENSG00000048540.14	1.0812101450778395	LMO3
ENSG00000268079.1	0.7295302102772975	BNIP3P30
ENSG00000178163.7	-0.6894687563154113	ZNF518B
ENSG00000008300.16	0.5206445485966563	CELSR3
ENSG00000255836.1	-0.5041157761990223	Gene symbol not found
ENSG00000277156.1	0.49183944058193535	TOMM40P1
ENSG00000198838.13	0.48068656936110943	RYR3
ENSG00000205213.13	-0.44933029347925957	LGR4
ENSG00000278530.4	0.44903018376263176	CHMP1B2P
ENSG00000189233.11	0.4272857760433074	NUGGC
ENSG00000244694.7	0.4223064200908002	PTCHD4
ENSG00000228526.6	0.4155803058508278	MIR34AHG
ENSG00000207291.1	0.40140261546996425	RNU6-30P
ENSG00000147231.13	0.3999273712472307	RADX
ENSG00000182168.14	0.3912421356941574	UNC5C
ENSG00000101405.3	-0.3888706205487414	OXT
ENSG00000141431.10	0.378846544122334	ASXL3
ENSG00000180817.11	0.37649719176061935	PPA1
ENSG00000185090.14	0.3746528993850585	MANEAL
ENSG00000266236.1	0.37437320107460464	NARF-IT1
ENSG00000118526.6	0.3658810192218357	TCF21
ENSG00000174292.12	0.3652364767071019	TNK1
ENSG00000053438.8	-0.36368904984435957	NNAT
ENSG00000267374.1	-0.3608821043696849	MIR924HG
ENSG00000271709.1	0.35291028720343254	Gene symbol not found
ENSG00000172247.3	-0.35012958286309204	C1QTNF4
ENSG00000261340.1	-0.3412308467580291	LINC01616
ENSG00000101955.14	-0.3400861665763757	SRPX
ENSG00000236536.1	-0.33988639774007484	Gene symbol not found
ENSG00000250742.2	0.33781861808845837	LINC02381
ENSG00000255468.6	-0.33768896713167473	B4GAT1-DT
ENSG00000112599.8	0.33753382291268313	GUCA1B
ENSG00000275322.1	-0.33213070564647923	Gene symbol not found
ENSG00000206052.10	-0.32370948213236167	DOK6
ENSG00000160233.7	-0.32292138950673893	LRRC3
ENSG00000181036.13	0.31603043199526376	FCRL6
ENSG00000165478.6	0.3137322191665648	HEPACAM
ENSG00000131080.14	0.3126301764916054	EDA2R
ENSG00000141576.14	0.31074189277818354	RNF157
ENSG00000217330.1	0.31050279224372185	SSXP10
ENSG00000253958.1	-0.3054405995589498	CLDN23
ENSG00000262001.1	-0.30401766975953465	DLGAP1-AS2
ENSG00000172667.10	0.3020639091042279	ZMAT3
ENSG00000101882.9	0.3018572346556071	NKAP
ENSG00000132623.15	0.3016590300622689	ANKEF1
ENSG00000263335.1	0.30118937079858127	Gene symbol not found
ENSG00000235513.1	0.2972538585236694	L3MBTL2-AS1
ENSG00000229901.1	0.29685173408629095	FOXO6-AS1
