	Coef_adrenal_gland	Gene_name
ENSG00000244694.7	0.3917853387200172	PTCHD4
ENSG00000105707.13	0.3682129582703238	HPN
ENSG00000272721.5	-0.3549976856948689	EIF2B5-DT
ENSG00000268758.7	0.3409987248803913	ADGRE4P
ENSG00000267225.1	-0.32955686715271704	WDR7-OT1
ENSG00000198099.8	0.32800741486819834	ADH4
ENSG00000253439.1	0.32609946323884664	CDC42P5
ENSG00000275532.1	-0.3249546572699201	Gene symbol not found
ENSG00000162753.11	-0.32071457127955527	SLC9C2
ENSG00000276656.1	-0.31937746811626966	MIR6083
ENSG00000236345.1	0.31329920300311426	SCAT8
ENSG00000229124.6	0.3095534623556938	VIM-AS1
ENSG00000253549.5	-0.3045958872899061	CA3-AS1
ENSG00000270947.1	-0.30401941067211974	Gene symbol not found
ENSG00000176219.2	-0.3025720862497918	OR11H6
ENSG00000258992.6	-0.2936650862700911	TSPY1
ENSG00000273870.1	-0.2891309173709444	Gene symbol not found
ENSG00000131080.14	0.28731808056288144	EDA2R
ENSG00000250337.5	0.2845219817875433	PURPL
ENSG00000145107.15	-0.28408084788259835	TM4SF19
ENSG00000149403.12	0.2822273384164182	GRIK4
ENSG00000093072.15	-0.27726255338892886	ADA2
ENSG00000272872.1	0.2718126404686469	
ENSG00000282692.1	0.2717684147524218	Gene symbol not found
ENSG00000263276.1	0.26326495835423075	Gene symbol not found
ENSG00000146070.16	-0.2618493956701761	PLA2G7
ENSG00000271734.1	0.2564703602797799	
ENSG00000229891.1	0.2557188695931	LINC01315
ENSG00000105711.11	0.25138023161344064	SCN1B
ENSG00000240160.3	0.2478115272179108	RN7SL263P
ENSG00000076944.15	-0.24587233698327762	STXBP2
ENSG00000273143.1	0.2437283623598581	DUSP5-DT
ENSG00000057657.15	0.24135734990512686	PRDM1
ENSG00000124762.13	0.2387570959024417	CDKN1A
ENSG00000170231.15	0.23722056262410063	FABP6
ENSG00000260144.1	0.2367950156269213	Gene symbol not found
ENSG00000241346.1	0.2355992488917673	SNRPCP11
ENSG00000178343.4	0.23513790087413328	SHISA3
ENSG00000232732.9	0.23496424528578566	Gene symbol not found
ENSG00000232530.1	0.2316648230166339	LIF-AS1
ENSG00000253894.1	-0.22979014966833372	Gene symbol not found
ENSG00000222714.1	0.2294736281867536	RN7SKP38
ENSG00000279846.1	0.22817673508011982	Gene symbol not found
ENSG00000178538.9	-0.2269651016903572	CA8
ENSG00000254281.1	-0.22430309392887984	
ENSG00000258740.1	0.22201467871138428	Gene symbol not found
ENSG00000262362.1	0.2205177621016588	Gene symbol not found
ENSG00000184895.7	-0.21872089251568785	SRY
ENSG00000106025.8	0.2164990260105501	TSPAN12
