	Coef_artery_aorta	Gene_name
ENSG00000081803.15	0.20719473847726294	CADPS2
ENSG00000126878.12	-0.15625086354290835	AIF1L
ENSG00000244694.7	0.15278582017385253	PTCHD4
ENSG00000168779.19	0.1495398265427242	SHOX2
ENSG00000244681.1	0.14896003628512067	MTHFD2P1
ENSG00000281706.2	-0.1466792850663438	LINC01012
ENSG00000185272.13	0.14439298707325185	RBM11
ENSG00000186472.19	0.14267291382226227	PCLO
ENSG00000261786.1	-0.14089815642235187	Gene symbol not found
ENSG00000232860.7	-0.14085169890603938	SMG7-AS1
ENSG00000082556.10	-0.13797276857312385	OPRK1
ENSG00000064205.10	0.13308419346573908	CCN5
ENSG00000151474.21	-0.1324786232401047	FRMD4A
ENSG00000050555.17	-0.12708797394126356	LAMC3
ENSG00000266050.2	-0.1266292657436798	Gene symbol not found
ENSG00000196090.12	-0.12644404600830064	PTPRT
ENSG00000048540.14	0.1263062996347189	LMO3
ENSG00000258695.2	0.12290862062113844	Gene symbol not found
ENSG00000072041.16	0.12280061749789824	SLC6A15
ENSG00000267504.1	0.1213425215316185	Gene symbol not found
ENSG00000206828.1	-0.11886094355357288	RNVU1-30
ENSG00000254585.2	-0.11876532122697135	MAGEL2
ENSG00000198732.10	-0.11549728293143965	SMOC1
ENSG00000273036.2	0.11428195325967686	CYP4F33P
ENSG00000137968.16	-0.11167560571984303	SLC44A5
ENSG00000278530.4	0.11068438766513322	CHMP1B2P
ENSG00000239268.2	-0.10952074683179783	LINC03051
ENSG00000215529.12	0.10900641097747038	EFCAB8
ENSG00000165325.13	0.10885068885968148	DEUP1
ENSG00000258675.1	-0.10860756951349242	LINC02308
ENSG00000184500.14	0.10763289590724853	PROS1
ENSG00000086717.18	0.10742738107654905	PPEF1
ENSG00000151948.11	-0.10667585343192953	GLT1D1
ENSG00000250361.7	0.1058457974025377	GYPB
ENSG00000179083.6	0.10495837242121492	FAM133A
ENSG00000231784.8	-0.10486465895407865	DBIL5P
ENSG00000188191.14	-0.10365292195361138	PRKAR1B
ENSG00000280435.1	-0.10350193583891623	Gene symbol not found
ENSG00000236155.6	-0.10204840833266872	ZPLD2P
ENSG00000276107.1	0.10104141347051365	THBS1-IT1
ENSG00000230267.7	-0.10094034282570567	HERC2P4
ENSG00000171403.9	-0.09936169019387926	KRT9
ENSG00000067221.13	0.09856676817569648	STOML1
ENSG00000176049.15	0.09742272865243207	JAKMIP2
ENSG00000131941.7	-0.09733082659371795	RHPN2
ENSG00000162738.5	-0.09698816475509393	VANGL2
ENSG00000167693.16	-0.0968919881293302	NXN
ENSG00000267313.7	0.09620252242130423	KC6
ENSG00000215105.4	0.09605030972283829	TTC3P1
ENSG00000172818.9	0.09464108400553443	OVOL1
