	Coef_artery_coronary	Gene_name
ENSG00000163515.6	-0.6642633684528194	RETNLB
ENSG00000261075.1	-0.6452177236033065	LINC01195
ENSG00000048540.14	0.6121951384938248	LMO3
ENSG00000170381.12	0.5925661031456512	SEMA3E
ENSG00000244694.7	0.5572210215050211	PTCHD4
ENSG00000258641.1	-0.5348476471084967	OR4T1P
ENSG00000101977.19	0.4540505905279407	MCF2
ENSG00000196427.13	0.4493121167916249	NBPF4
ENSG00000270000.1	-0.4329251646152355	Gene symbol not found
ENSG00000252719.1	-0.4111390719692776	Gene symbol not found
ENSG00000265359.1	-0.4082297964114371	Gene symbol not found
ENSG00000146352.12	0.4065148787526023	CLVS2
ENSG00000261437.1	0.4059744835150633	LINC02894
ENSG00000224846.2	0.405124185424907	NQO2-AS1
ENSG00000260804.3	-0.3919510608895495	LINC01963
ENSG00000201811.1	-0.37972630274919894	SNORA71
ENSG00000249412.1	0.37935164324384696	Gene symbol not found
ENSG00000279348.1	-0.3789384999222467	Gene symbol not found
ENSG00000235595.1	-0.3734259354028182	GAPDHP23
ENSG00000081803.15	0.37328885882934526	CADPS2
ENSG00000242634.1	0.3726632883504101	RPS24P16
ENSG00000134533.6	0.372007471800615	RERG
ENSG00000271321.1	0.36288576288784546	CTAGE6
ENSG00000253147.5	-0.3453376993051271	LINC03023
ENSG00000236290.1	-0.34487149216308777	EEF1GP7
ENSG00000229251.3	-0.3326045922417996	HNRNPA1P8
ENSG00000224510.2	-0.3278343291554335	POLR2KP2
ENSG00000167104.11	-0.3278301247371497	BPIFB6
ENSG00000207494.1	-0.325819856303372	Y_RNA
ENSG00000224897.6	0.32386248907695026	POT1-AS1
ENSG00000205898.3	0.3172308012410217	Gene symbol not found
ENSG00000257395.1	-0.3162081088702342	Gene symbol not found
ENSG00000227413.1	0.30733350087422545	Gene symbol not found
ENSG00000225636.1	0.30717970026404356	HNRNPA3P15
ENSG00000220848.4	0.3052490741785928	RPS18P9
ENSG00000277120.5	-0.3008098453238224	MIR6089
ENSG00000105699.16	-0.29472360882704557	LSR
ENSG00000037757.13	0.2900111843831411	MRI1
ENSG00000183506.17	0.2863299975839912	PI4KAP2
ENSG00000270750.1	0.28361053940942993	
ENSG00000246130.1	0.28293217274118926	TNFRSF10B-AS1
ENSG00000260473.2	-0.27754207130262404	Gene symbol not found
ENSG00000105643.9	-0.2771904284734272	ARRDC2
ENSG00000182963.9	-0.2740809924960029	GJC1
ENSG00000100368.13	-0.2661034483930508	CSF2RB
ENSG00000183386.9	-0.2651703870916516	FHL3
ENSG00000259005.1	-0.2626050180997024	Gene symbol not found
ENSG00000270809.1	0.26141168164160244	CHCHD2P11
ENSG00000217414.2	-0.25992637713522637	DDX18P3
ENSG00000267042.1	0.2593760970373435	Gene symbol not found
