	Coef_brain_cerebellum	Gene_name
ENSG00000257711.1	0.11550604954023043	
ENSG00000279039.1	-0.09292290614651517	
ENSG00000052344.15	0.0921301925798964	PRSS8
ENSG00000175718.9	0.08954120621330139	RBMXL3
ENSG00000117594.9	0.08943250615287565	HSD11B1
ENSG00000151718.15	-0.0864717208317053	WWC2
ENSG00000089225.19	0.08542424259639275	TBX5
ENSG00000266227.1	-0.07953829951473981	NPM1P2
ENSG00000187867.8	0.07800227421305402	PALM3
ENSG00000271178.1	-0.07785865289754004	IGHV3OR16-13
ENSG00000227432.1	0.07705294111645476	ASIC4-AS1
ENSG00000253293.4	-0.0750408518636521	HOXA10
ENSG00000236968.1	-0.07412597192848194	Gene symbol not found
ENSG00000145888.10	0.07395473261334125	GLRA1
ENSG00000249005.3	-0.07377085700949501	FAM90A4P
ENSG00000235070.3	-0.07310367929069844	Gene symbol not found
ENSG00000213435.3	-0.07163375870057107	ATP6V0CP3
ENSG00000138759.18	-0.07147093831376747	FRAS1
ENSG00000221977.1	-0.07141671524020948	OR4E2
ENSG00000213698.2	-0.07097822206236075	CAPZA1P3
ENSG00000248229.1	-0.07094571896146391	Gene symbol not found
ENSG00000181656.6	-0.07070975510507116	GPR88
ENSG00000100302.6	0.07056825033280988	RASD2
ENSG00000131095.12	0.07056257982718107	GFAP
ENSG00000181195.10	0.06996653895733103	PENK
ENSG00000070159.13	-0.06973187089723792	PTPN3
ENSG00000144119.3	0.0696802013500155	C1QL2
ENSG00000263505.1	-0.06878472331456395	SLC25A3P3
ENSG00000276945.1	-0.06849489006508892	Gene symbol not found
ENSG00000228467.2	-0.06780290356125901	Gene symbol not found
ENSG00000145358.6	0.06734967691591902	DDIT4L
ENSG00000248211.1	-0.0670445419695436	TRPC7-AS1
ENSG00000197919.5	0.06695931563817366	IFNA1
ENSG00000257737.1	-0.0649718748195589	Gene symbol not found
ENSG00000266184.1	-0.06445713127304155	Gene symbol not found
ENSG00000263862.1	-0.06402843067391892	LINC01543
ENSG00000072182.12	0.0639935256523992	ASIC4
ENSG00000241318.3	-0.0639753676595067	WDR82P2
ENSG00000261761.3	-0.06373815329400204	LINC02616
ENSG00000231464.1	-0.06262552613678955	PPP4R2P3
ENSG00000118495.18	-0.06229262861925014	PLAGL1
ENSG00000198838.13	0.06166395836478015	RYR3
ENSG00000271671.1	-0.06152052543473661	Gene symbol not found
ENSG00000229204.3	-0.0613500585125991	PTGES3P3
ENSG00000240478.1	-0.06089915891890013	Gene symbol not found
ENSG00000136883.13	-0.060356934810695755	KIF12
ENSG00000143365.17	0.05996506690336069	RORC
ENSG00000249061.1	-0.059890842413059545	Gene symbol not found
ENSG00000238166.2	-0.05982055588775967	Gene symbol not found
ENSG00000120337.8	-0.05940154051986909	TNFSF18
