	Coef_colon_sigmoid	Gene_name
ENSG00000112319.17	0.4151442562049801	EYA4
ENSG00000228526.6	0.3970814438822562	MIR34AHG
ENSG00000244694.7	0.37611227353629845	PTCHD4
ENSG00000170049.9	-0.3446201658225637	KCNAB3
ENSG00000248799.1	-0.3054483610097483	Gene symbol not found
ENSG00000147889.17	0.2957330943908752	CDKN2A
ENSG00000138829.11	-0.27155043099808945	FBN2
ENSG00000131080.14	0.26642015838398647	EDA2R
ENSG00000227708.1	-0.2606511507054345	LINC01850
ENSG00000250337.5	0.259865266513628	PURPL
ENSG00000200036.1	-0.2580201140313356	RNA5SP65
ENSG00000270212.1	-0.25519731595559786	Gene symbol not found
ENSG00000244681.1	0.2524887640842127	MTHFD2P1
ENSG00000237438.7	0.24209640210388855	CECR7
ENSG00000281937.1	0.222025134684103	
ENSG00000227704.1	-0.21767694608128738	Gene symbol not found
ENSG00000064655.18	0.20995603888053752	EYA2
ENSG00000273455.1	0.2015726664452752	Gene symbol not found
ENSG00000206195.10	0.19952446894212988	DUXAP8
ENSG00000224988.1	-0.19196176203991838	Gene symbol not found
ENSG00000168828.5	0.19121906969392968	OR13J1
ENSG00000225511.6	0.19118942267573416	LINC00475
ENSG00000233254.1	0.1855445987865981	RPL21P134
ENSG00000198807.12	0.183675771909963	PAX9
ENSG00000267282.1	0.18354296167851536	Gene symbol not found
ENSG00000255159.1	-0.1828900905788855	DENND2B-AS1
ENSG00000217004.1	-0.18176170627192162	Gene symbol not found
ENSG00000162639.15	-0.18118550177337098	HENMT1
ENSG00000196109.6	0.179115926685891	ZNF676
ENSG00000273604.1	-0.17606883261161824	EPOP
ENSG00000223284.1	-0.17313722276386606	RNU6-195P
ENSG00000269947.1	-0.1713442479853626	Gene symbol not found
ENSG00000081803.15	0.17010866794820106	CADPS2
ENSG00000168779.19	0.16610923712607278	SHOX2
ENSG00000268079.1	0.16503227240296525	BNIP3P30
ENSG00000278530.4	0.16503145677158684	CHMP1B2P
ENSG00000231952.3	-0.16266910424652392	DPY19L1P2
ENSG00000272922.1	0.1622846487243591	
ENSG00000111339.10	0.16181826679437847	ART4
ENSG00000237512.6	0.15951494393027085	UNC5B-AS1
ENSG00000255408.3	0.15920694429496995	PCDHA3
ENSG00000249973.2	0.15890193197965038	CHCHD2P7
ENSG00000226925.1	-0.15785651797541225	IL1R1-AS1
ENSG00000213225.7	-0.15726003522742568	NOC2LP1
ENSG00000164109.13	-0.15596505908350558	MAD2L1
ENSG00000130943.6	-0.1534070438557509	PKDREJ
ENSG00000198963.10	0.1532769145479299	RORB
ENSG00000260304.1	0.15095972415549258	Gene symbol not found
ENSG00000257464.1	0.14979513010142065	Gene symbol not found
