	Coef_heart_atrial_appendage	Gene_name
ENSG00000261292.2	0.7644373982030198	Gene symbol not found
ENSG00000177791.11	0.7029844352350355	MYOZ1
ENSG00000151136.14	-0.676085738274081	ABTB3
ENSG00000228034.1	-0.6212052393697141	HMGN2P21
ENSG00000131080.14	0.6114242980612697	EDA2R
ENSG00000226816.2	-0.6075907765966498	Gene symbol not found
ENSG00000244694.7	0.5901875951627785	PTCHD4
ENSG00000102924.11	-0.579610828651856	CBLN1
ENSG00000244681.1	0.5639512499392935	MTHFD2P1
ENSG00000074211.13	-0.5585197429707036	PPP2R2C
ENSG00000250337.5	0.5283460262149339	PURPL
ENSG00000234546.3	0.501979562799711	LNCTAM34A
ENSG00000138650.8	0.49133138438295854	PCDH10
ENSG00000250241.5	0.48695367924890043	PCDH10-DT
ENSG00000163898.9	0.47697089773324564	LIPH
ENSG00000222705.1	-0.47243748030732363	RN7SKP39
ENSG00000237978.5	0.466211375263544	KCNMB2-AS1
ENSG00000080224.17	0.46612739839456974	EPHA6
ENSG00000133640.18	0.45964211276641886	LRRIQ1
ENSG00000178075.19	0.4565572100808141	GRAMD1C
ENSG00000111664.10	0.43329555286486243	GNB3
ENSG00000171094.16	0.4254087066554284	ALK
ENSG00000164695.4	-0.41893214723619143	CHMP4C
ENSG00000244306.10	0.4054042019529681	DUXAP10
ENSG00000235570.1	-0.40299998497251516	LINC00533
ENSG00000167766.18	-0.4018362108172504	ZNF83
ENSG00000242173.8	0.39777590290879516	ARHGDIG
ENSG00000133816.13	0.3924647710484108	MICAL2
ENSG00000048540.14	0.3825010842220291	LMO3
ENSG00000273356.1	0.380204525973059	LINC02019
ENSG00000249738.8	-0.3761681837764814	Gene symbol not found
ENSG00000181104.6	-0.372031758349249	F2R
ENSG00000151746.13	-0.3650028498234568	BICD1
ENSG00000174326.11	-0.35716003673685426	SLC16A11
ENSG00000106302.9	0.33842751849156977	HYAL4
ENSG00000163453.11	-0.3376604528297085	IGFBP7
ENSG00000233613.5	0.32268692083349254	DCUN1D2-AS
ENSG00000182492.15	-0.3203478158745106	BGN
ENSG00000228526.6	0.31935891067428623	MIR34AHG
ENSG00000228828.1	0.3147997992603117	TLK2P2
ENSG00000259054.1	-0.31318730045890897	LINC02332
ENSG00000073060.15	0.30998642574207025	SCARB1
ENSG00000186105.7	-0.30911270388572054	LRRC70
ENSG00000145246.13	-0.30136414480618623	ATP10D
ENSG00000102886.14	-0.29846793547609296	GDPD3
ENSG00000122176.10	-0.29837508087199954	FMOD
ENSG00000163071.10	0.29784532860196444	SPATA18
ENSG00000280234.1	0.29399328749462833	Gene symbol not found
ENSG00000204387.12	-0.28959394736760646	SNHG32
