	Coef_liver	Gene_name
ENSG00000242573.1	-0.38072296321106314	ACTR3P3
ENSG00000114631.10	-0.31031103901645163	PODXL2
ENSG00000219702.1	-0.30788959108685926	Gene symbol not found
ENSG00000261570.1	-0.28498424723878696	AGK-DT
ENSG00000222426.1	-0.27663539620794525	RNU2-50P
ENSG00000259326.1	0.2631749625484405	Gene symbol not found
ENSG00000271209.1	0.2543033726647642	BRDTP1
ENSG00000254345.1	-0.2502009096206025	IGKV2D-23
ENSG00000256436.1	0.2424397265633693	TAS2R31
ENSG00000226703.1	-0.24168650511472956	NPM1P4
ENSG00000283205.1	-0.24159776918941772	Gene symbol not found
ENSG00000253604.1	-0.23171374368748018	Gene symbol not found
ENSG00000283288.1	-0.21718851849930224	SMIM33
ENSG00000260877.2	0.21578097954465833	Gene symbol not found
ENSG00000228262.8	0.21405178990354523	LINC01320
ENSG00000235118.7	-0.21119581866596107	FAM237A
ENSG00000231066.3	-0.20799678399880914	NPM1P9
ENSG00000237631.2	0.20625507806431392	PARK7P2
ENSG00000238835.1	-0.20522111913262417	SCARNA18
ENSG00000264685.1	-0.2001583529719716	PRPF19P1
ENSG00000248647.2	0.1997097896433654	Gene symbol not found
ENSG00000250480.3	-0.1979881623959112	RLIG1P1
ENSG00000103200.6	-0.1942480584002168	Gene symbol not found
ENSG00000233057.1	0.1924339737058923	EEF1A1P14
ENSG00000236062.1	0.18915799820236517	GSTM5P1
ENSG00000227240.1	0.18811721032256407	Gene symbol not found
ENSG00000273989.1	0.18801277542037773	Gene symbol not found
ENSG00000108417.3	-0.1871005184075001	KRT37
ENSG00000159247.13	0.1866086808335513	TUBBP5
ENSG00000231849.1	-0.1856550442967069	UBE2V2P4
ENSG00000225370.1	-0.18547023537096255	Gene symbol not found
ENSG00000283098.1	0.1846434146868819	Gene symbol not found
ENSG00000259845.1	-0.1825323301489836	HERC2P10
ENSG00000255147.1	-0.1819320012340408	EVA1CP4
ENSG00000205220.11	-0.18123384880814297	PSMB10
ENSG00000214185.3	-0.18017854841681552	XPOTP1
ENSG00000180855.15	0.1788059888397102	ZNF443
ENSG00000239958.3	-0.17557446145124841	RN7SL51P
ENSG00000102053.12	0.17400857919483664	ZC3H12B
ENSG00000254106.1	-0.1719600755742593	LINC01848
ENSG00000284242.1	-0.17158769662473297	Gene symbol not found
ENSG00000150873.11	-0.17018832696313757	C2orf50
ENSG00000278054.1	-0.16997101918907054	Gene symbol not found
ENSG00000179873.14	0.16780563167084778	NLRP11
ENSG00000227814.3	0.16665965232957206	MRPS17P9
ENSG00000277474.1	-0.16464034910265554	MIR6894
ENSG00000272275.1	-0.16428117309960422	Gene symbol not found
ENSG00000171747.8	0.1629342978229467	LGALS4
ENSG00000152977.9	0.16224088636321612	ZIC1
ENSG00000188738.14	0.1604957073526748	FSIP2
