	Coef_lung	Gene_name
ENSG00000178163.7	-0.7358998214266781	ZNF518B
ENSG00000131080.14	0.6849842484590491	EDA2R
ENSG00000145242.13	0.6725145779277651	EPHA5
ENSG00000147889.17	0.607626679468216	CDKN2A
ENSG00000100285.9	-0.5111416026400201	NEFH
ENSG00000244681.1	0.4498076628038419	MTHFD2P1
ENSG00000100362.12	-0.44667510361929075	PVALB
ENSG00000022556.15	-0.41678415111277595	NLRP2
ENSG00000130876.11	-0.4132124672295186	SLC7A10
ENSG00000263280.1	-0.40600739628881255	Gene symbol not found
ENSG00000160870.12	0.4001479289585258	CYP3A7
ENSG00000102854.15	-0.39294513820468574	MSLN
ENSG00000185090.14	0.39236904723334365	MANEAL
ENSG00000198542.13	0.3920887468080654	ITGBL1
ENSG00000244694.7	0.3906909301087894	PTCHD4
ENSG00000187730.8	0.3698468788950455	GABRD
ENSG00000189127.7	-0.3662365497192872	ANKRD34B
ENSG00000186642.15	-0.3636685457892919	PDE2A
ENSG00000230267.7	-0.361245878514346	HERC2P4
ENSG00000185088.13	0.3441811389347634	RPS27L
ENSG00000102452.15	0.34226470039267326	NALCN
ENSG00000244593.1	-0.3415222449129319	Gene symbol not found
ENSG00000257550.1	-0.3399977991167368	Gene symbol not found
ENSG00000170549.3	-0.3271151869189665	IRX1
ENSG00000257194.2	0.32189088169170665	
ENSG00000180543.4	-0.32178266207632195	TSPYL5
ENSG00000272070.1	0.3206529025639006	
ENSG00000254198.1	-0.31843531543233455	Gene symbol not found
ENSG00000112852.6	0.31680320963928926	PCDHB2
ENSG00000143839.14	-0.3149422630123464	REN
ENSG00000080224.17	0.3141051533872515	EPHA6
ENSG00000273203.1	0.3110195792894524	
ENSG00000141576.14	0.30097133848347035	RNF157
ENSG00000196109.6	0.30023725263444334	ZNF676
ENSG00000267733.5	0.28860122425951196	Gene symbol not found
ENSG00000267643.1	0.28783539348942866	
ENSG00000277382.1	0.2849187599881856	Gene symbol not found
ENSG00000226822.2	-0.28427015025760255	
ENSG00000101255.10	0.28227032827559106	TRIB3
ENSG00000162039.14	-0.2816379571291783	MEIOB
ENSG00000174672.15	0.27785126696788937	BRSK2
ENSG00000113319.12	0.27596972473319753	RASGRF2
ENSG00000283913.1	-0.2709350614671637	Gene symbol not found
ENSG00000106868.16	-0.265828120245303	SUSD1
ENSG00000259134.5	0.26202042967257777	LINC00924
ENSG00000229915.1	-0.2598813527172608	Gene symbol not found
ENSG00000081818.3	0.2578583323136388	PCDHB4
ENSG00000138795.9	-0.2528509632211177	LEF1
ENSG00000064205.10	0.25121918419302247	CCN5
ENSG00000215595.1	0.24976760660962796	C20orf202
