	Coef_nerve_tibial	Gene_name
ENSG00000072041.16	0.5005389243560909	SLC6A15
ENSG00000204764.13	-0.40241596213525427	RANBP17
ENSG00000237125.8	0.4001049435681355	HAND2-AS1
ENSG00000196109.6	0.39225913408482765	ZNF676
ENSG00000178163.7	-0.38676862329193135	ZNF518B
ENSG00000131080.14	0.38510103611220764	EDA2R
ENSG00000171551.11	-0.3770314287019282	ECEL1
ENSG00000244681.1	0.3690753965693941	MTHFD2P1
ENSG00000244694.7	0.3654069355331879	PTCHD4
ENSG00000204876.4	0.3458206281130489	Gene symbol not found
ENSG00000196767.6	0.3343948129387144	POU3F4
ENSG00000184905.8	0.33155605584572523	TCEAL2
ENSG00000100285.9	-0.323744451218698	NEFH
ENSG00000164107.8	0.3230370162969853	HAND2
ENSG00000163564.14	0.31446753121279314	PYHIN1
ENSG00000128710.5	0.29929394877967636	HOXD10
ENSG00000128713.13	0.29448704694518885	HOXD11
ENSG00000040731.10	0.28692563808065674	CDH10
ENSG00000164690.7	0.2797959669086621	SHH
ENSG00000189233.11	0.27108967178951054	NUGGC
ENSG00000250957.1	0.2604286152622231	
ENSG00000136944.17	-0.2360144159706157	LMX1B
ENSG00000152467.9	-0.23587292674238444	ZSCAN1
ENSG00000180347.13	0.23114918348551472	ITPRID1
ENSG00000008196.12	0.23057185925725426	TFAP2B
ENSG00000112319.17	0.22971421439754872	EYA4
ENSG00000134853.11	-0.2262087626941013	PDGFRA
ENSG00000203797.9	0.22452045704820636	DDO
ENSG00000204519.10	-0.21822192355650522	ZNF551
ENSG00000179909.15	-0.21703031737235026	ZNF154
ENSG00000226711.6	-0.21629910080092168	FAM66C
ENSG00000121335.11	0.21527913942255233	PRB2
ENSG00000176658.16	0.21518628669127096	MYO1D
ENSG00000179399.14	0.2140781719106858	GPC5
ENSG00000186205.12	0.21252751094825925	MTARC1
ENSG00000172667.10	0.20894380094981205	ZMAT3
ENSG00000181023.6	0.2056804210692093	OR56B1
ENSG00000162461.7	0.20503482390793387	SLC25A34
ENSG00000168556.6	-0.20337366331097176	ING2
ENSG00000159496.14	-0.20336601732454035	RGL4
ENSG00000259236.1	0.20081720200942574	GOLGA8VP
ENSG00000272872.1	0.2001110217934813	
ENSG00000184144.11	0.19989119548765996	CNTN2
ENSG00000213642.3	-0.1920793346593555	Gene symbol not found
ENSG00000261587.2	0.1920644165788816	TMEM249
ENSG00000249388.1	-0.18727914172388943	FLJ12825
ENSG00000250337.5	0.18701759923504785	PURPL
ENSG00000124205.15	-0.1868258233655872	EDN3
ENSG00000101203.16	0.18554322670052903	COL20A1
ENSG00000080224.17	0.18451489287878908	EPHA6
