	Coef_pancreas	Gene_name
ENSG00000178163.7	-2.4333468413851285	ZNF518B
ENSG00000104722.13	-1.6973779055100782	NEFM
ENSG00000185010.13	1.5891578401347641	F8
ENSG00000260015.1	1.4258631599631446	Gene symbol not found
ENSG00000166262.15	-1.1912807108755028	FAM227B
ENSG00000159212.12	-1.0961461603607607	CLIC6
ENSG00000206195.10	1.0099083642960558	DUXAP8
ENSG00000148082.9	1.0007540569346507	SHC3
ENSG00000224945.1	0.9885464601614095	Gene symbol not found
ENSG00000119973.5	0.9122187779161978	PRLHR
ENSG00000106341.10	0.9018881945435004	PPP1R17
ENSG00000258628.1	0.9013020120076527	RHPN2P1
ENSG00000255408.3	0.9009819264939869	PCDHA3
ENSG00000147889.17	0.8915444509240816	CDKN2A
ENSG00000244694.7	0.8571939358882175	PTCHD4
ENSG00000204176.13	-0.8556665339802039	SYT15
ENSG00000183770.5	0.7768415787884733	FOXL2
ENSG00000255836.1	-0.7470704883621467	Gene symbol not found
ENSG00000229020.4	0.7244298772039404	AKR7A2P1
ENSG00000265366.6	0.6917362541375562	GLUD1P2
ENSG00000143355.15	0.6827648405062275	LHX9
ENSG00000088882.7	-0.6709706741759753	CPXM1
ENSG00000163071.10	0.6133999359390417	SPATA18
ENSG00000281205.1	-0.5927122462157526	
ENSG00000147027.3	0.5814411813427908	TMEM47
ENSG00000213225.7	-0.5646038848817831	NOC2LP1
ENSG00000102796.10	-0.5597529513672266	DHRS12
ENSG00000100867.14	0.48604121776714393	DHRS2
ENSG00000214754.3	-0.472859326527801	SRSF8CP
ENSG00000198804.2	-0.4372832684791773	MT-CO1
ENSG00000131080.14	0.40634276255685586	EDA2R
ENSG00000250218.1	0.37869470209059264	ALDH1L1-AS1
ENSG00000240401.8	0.37354668900953947	
ENSG00000236833.1	0.3508115731403536	Gene symbol not found
ENSG00000235268.2	-0.34541856051729003	KDM4E
ENSG00000272674.3	0.30705054358771783	PCDHB16
ENSG00000275560.1	0.30159967844479896	
ENSG00000204969.6	0.28996644959501866	PCDHA2
ENSG00000255158.1	-0.2617527223547355	Gene symbol not found
ENSG00000173947.13	-0.24822700699374448	CIMAP3
ENSG00000188011.5	-0.2354034495766142	RTP5
ENSG00000200769.1	-0.21318408091613453	Y_RNA
ENSG00000054598.6	0.20802994670014305	FOXC1
ENSG00000184378.2	-0.20702910592211715	ACTRT3
ENSG00000100196.10	-0.1951956083460465	KDELR3
ENSG00000124203.6	0.1738059763797249	ZNF831
ENSG00000167281.18	-0.12819892586580575	RBFOX3
ENSG00000272872.1	0.1193283768038216	
ENSG00000176046.8	-0.09232345139370753	NUPR1
