	Coef_pituitary	Gene_name
ENSG00000180105.11	-0.4072716095160721	ACER2P1
ENSG00000252719.1	-0.33401731711747584	Gene symbol not found
ENSG00000244694.7	0.32940380297449884	PTCHD4
ENSG00000185088.13	0.3169752381473043	RPS27L
ENSG00000252591.1	-0.3145189102437839	RNA5SP468
ENSG00000131080.14	0.3038914027244841	EDA2R
ENSG00000173535.13	0.27755990603975017	TNFRSF10C
ENSG00000213816.3	-0.2732292993784612	CNN2P4
ENSG00000117594.9	0.2727171593994244	HSD11B1
ENSG00000260255.1	-0.26310413957619455	Gene symbol not found
ENSG00000255492.1	-0.260026311197093	H3P33
ENSG00000202272.1	-0.25347102444121533	Y_RNA
ENSG00000269526.1	-0.2448319464811563	ERVV-1
ENSG00000232139.5	-0.2441745467332533	LINC00867
ENSG00000236136.1	0.23229085676468295	ADORA2BP1
ENSG00000278698.1	-0.23020684769282299	Gene symbol not found
ENSG00000280436.1	-0.22747698026873747	Gene symbol not found
ENSG00000235623.2	-0.22642898764739336	OR7E110P
ENSG00000134574.11	0.2223240291655827	DDB2
ENSG00000216977.1	0.21578254821420795	RPL21P65
ENSG00000203531.3	-0.21438174223804457	Gene symbol not found
ENSG00000232939.1	-0.20862653888118152	Gene symbol not found
ENSG00000237978.5	0.2008617553930978	KCNMB2-AS1
ENSG00000255489.1	-0.2005805530373155	Gene symbol not found
ENSG00000243539.3	-0.19772825764082697	RN7SL649P
ENSG00000270900.1	-0.19406062256393325	NUDT19P4
ENSG00000252778.1	-0.19324992808850475	Gene symbol not found
ENSG00000268994.3	-0.1930607844839783	FAM236B
ENSG00000251874.1	-0.1929896209458847	RNU6-615P
ENSG00000234913.1	-0.1902635404440717	Gene symbol not found
ENSG00000177770.11	-0.18999007415559888	CDKN2AIPNLP1
ENSG00000253305.2	-0.18768767117986163	PCDHGB6
ENSG00000100593.17	-0.18575896480262954	ISM2
ENSG00000252919.1	-0.18231241141819604	Y_RNA
ENSG00000279954.1	-0.1812649043887603	Gene symbol not found
ENSG00000228162.1	-0.1780915528654111	Gene symbol not found
ENSG00000267289.1	-0.17674217762990338	PIN1-DT
ENSG00000226320.5	-0.17592950427137963	LINC01811
ENSG00000235151.1	-0.174108459204435	Gene symbol not found
ENSG00000178163.7	-0.17031647835941296	ZNF518B
ENSG00000236886.2	-0.16583383096334126	
ENSG00000173451.6	-0.1638515408013959	THAP2
ENSG00000278200.1	-0.16353217023232278	LINC01971
ENSG00000273568.1	0.1621169032863849	Gene symbol not found
ENSG00000254251.1	0.16173181418335492	Gene symbol not found
ENSG00000268866.1	-0.15998285585585859	Gene symbol not found
ENSG00000061337.15	-0.15781835009080045	LZTS1
ENSG00000240423.1	-0.15775330734665632	LINC00636
ENSG00000258743.5	-0.15737389976147448	LINC02301
ENSG00000234379.1	-0.15721159464328965	HMGB1P48
