	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.227296381476514	LHFPL4
ENSG00000070019.4	1.120022948171569	GUCY2C
ENSG00000048540.14	1.0382064010029672	LMO3
ENSG00000154162.14	-1.0152929918099034	CDH12
ENSG00000255442.1	0.8768617948725824	Gene symbol not found
ENSG00000104044.15	-0.8503640418180789	OCA2
ENSG00000278318.4	-0.819223223170698	ZNF229
ENSG00000224810.1	-0.7617961985707977	Gene symbol not found
ENSG00000124253.10	-0.7614513614106092	PCK1
ENSG00000244694.7	0.7482520445027684	PTCHD4
ENSG00000181690.7	-0.7206670447033279	PLAG1
ENSG00000246627.6	0.6944634322417916	
ENSG00000226057.6	0.6129277148668038	PHF2P2
ENSG00000114378.16	0.5927493206200157	HYAL1
ENSG00000267733.5	0.5842473462484005	Gene symbol not found
ENSG00000007372.21	0.573191849558105	PAX6
ENSG00000180155.19	-0.5718299239320197	LYNX1
ENSG00000176998.4	0.5706183306191013	HCG4
ENSG00000185008.17	-0.5466868275169975	ROBO2
ENSG00000207296.1	0.5410247408121055	RNU6-140P
ENSG00000271447.5	0.5340909395910645	MMP28
ENSG00000229375.1	0.5323791474004371	USP24P1
ENSG00000176153.11	-0.5301003534113508	GPX2
ENSG00000112333.11	0.5294890785417731	NR2E1
ENSG00000110092.3	0.5129927094624654	CCND1
ENSG00000267508.5	-0.505700102334645	ZNF285
ENSG00000100321.14	-0.5004580920558147	SYNGR1
ENSG00000261104.1	-0.49586145189182446	Gene symbol not found
ENSG00000072818.11	0.4682955034025902	ACAP1
ENSG00000254043.1	-0.4641325632940367	Gene symbol not found
ENSG00000179151.11	-0.4464146274956282	EDC3
ENSG00000105520.10	-0.44320881301891085	PLPPR2
ENSG00000136378.14	0.4369901198269301	ADAMTS7
ENSG00000235903.7	-0.43602233608235513	CPB2-AS1
ENSG00000235961.5	-0.43541060752599364	PNMA6A
ENSG00000114405.10	-0.41864957338135816	CEP15
ENSG00000164099.3	-0.4103355758982218	PRSS12
ENSG00000172667.10	0.41019095520922455	ZMAT3
ENSG00000112852.6	0.4059112228505844	PCDHB2
ENSG00000143320.8	0.40254978949059794	CRABP2
ENSG00000146521.9	0.3940752227198446	
ENSG00000163564.14	0.39188516554314823	PYHIN1
ENSG00000235933.1	0.39184704712960267	LINC01779
ENSG00000278937.1	-0.3859433273291767	
ENSG00000162722.8	0.3851957719916355	TRIM58
ENSG00000184990.12	-0.38439482828622734	SIVA1
ENSG00000128311.13	0.37924755008472666	TST
ENSG00000230587.1	0.3763666957646171	LINC02580
ENSG00000181061.13	0.3481829539150179	HIGD1A
