adipose_subcutaneous,artery_aorta,artery_coronary,brain_cerebellum,brain_cortex,colon_sigmoid,heart_atrial_appendage,liver,lung,nerve_tibial,pancreas,skin_sun_exposed_lower_leg
ENSG00000214491.9,ENSG00000029559.7,ENSG00000029559.7,ENSG00000134853.12,ENSG00000269113.4,ENSG00000185924.7,ENSG00000163833.8,ENSG00000179097.7,ENSG00000135447.17,ENSG00000119946.11,ENSG00000127241.18,ENSG00000260653.6
ENSG00000116661.11,ENSG00000287294.1,ENSG00000287294.1,ENSG00000176907.5,ENSG00000244476.3,ENSG00000241935.9,ENSG00000285902.1,ENSG00000213088.12,ENSG00000215218.4,ENSG00000224361.1,ENSG00000164451.14,ENSG00000260844.2
ENSG00000187867.10,ENSG00000105852.11,ENSG00000105852.11,ENSG00000077420.16,ENSG00000231274.5,ENSG00000253819.2,ENSG00000155657.29,ENSG00000123095.6,ENSG00000261863.1,ENSG00000280010.1,ENSG00000182566.15,ENSG00000118785.15
ENSG00000248568.1,ENSG00000276644.5,ENSG00000276644.5,ENSG00000242611.2,ENSG00000230148.8,ENSG00000165496.5,ENSG00000243225.2,ENSG00000153930.13,ENSG00000224995.1,ENSG00000257803.2,ENSG00000148488.17,ENSG00000196754.13
ENSG00000164542.13,ENSG00000099954.19,ENSG00000099954.19,ENSG00000186188.11,ENSG00000162460.7,ENSG00000232285.1,ENSG00000250981.2,ENSG00000171016.13,ENSG00000173376.14,ENSG00000227292.1,ENSG00000074416.16,ENSG00000237571.1
ENSG00000235244.5,ENSG00000255650.6,ENSG00000255650.6,ENSG00000139304.16,ENSG00000106333.13,ENSG00000079112.10,ENSG00000239279.3,ENSG00000114120.14,ENSG00000181378.14,ENSG00000196169.15,ENSG00000226419.8,ENSG00000256029.6
ENSG00000264775.1,ENSG00000264449.6,ENSG00000264449.6,ENSG00000236841.8,ENSG00000019549.13,ENSG00000109705.8,ENSG00000183072.10,ENSG00000259869.2,ENSG00000197471.12,ENSG00000257530.1,ENSG00000144218.21,ENSG00000246223.10
ENSG00000186458.5,ENSG00000259038.2,ENSG00000259038.2,ENSG00000186314.12,ENSG00000129988.6,ENSG00000234828.9,ENSG00000228338.1,ENSG00000196155.13,ENSG00000204345.1,ENSG00000159307.20,ENSG00000283154.3,ENSG00000105929.16
ENSG00000281769.1,ENSG00000196482.18,ENSG00000196482.18,ENSG00000131019.11,ENSG00000259430.2,ENSG00000163017.14,ENSG00000183631.5,ENSG00000038295.8,ENSG00000288954.1,ENSG00000178586.6,ENSG00000283175.1,ENSG00000286010.1
ENSG00000234918.1,ENSG00000087495.17,ENSG00000087495.17,ENSG00000163364.10,ENSG00000109684.16,ENSG00000092345.14,ENSG00000158022.7,ENSG00000189058.9,ENSG00000176601.14,ENSG00000229246.2,ENSG00000128285.5,ENSG00000123892.12
ENSG00000226967.1,ENSG00000095203.15,ENSG00000095203.15,ENSG00000107338.10,ENSG00000148482.12,ENSG00000187714.7,ENSG00000271952.3,ENSG00000140443.15,ENSG00000171049.9,ENSG00000230576.1,ENSG00000253844.1,ENSG00000170486.11
ENSG00000248295.2,ENSG00000106078.19,ENSG00000106078.19,ENSG00000288018.2,ENSG00000223597.3,ENSG00000256643.1,ENSG00000140795.13,ENSG00000158008.10,ENSG00000203985.11,ENSG00000171819.5,ENSG00000225350.1,ENSG00000143367.17
ENSG00000236961.1,ENSG00000168913.7,ENSG00000168913.7,ENSG00000249068.1,ENSG00000287245.1,ENSG00000174279.5,ENSG00000129991.13,ENSG00000172554.12,ENSG00000164400.6,ENSG00000285045.1,ENSG00000274584.1,ENSG00000203837.5
ENSG00000254135.3,ENSG00000170891.11,ENSG00000170891.11,ENSG00000074527.13,ENSG00000255267.4,ENSG00000166143.10,ENSG00000121769.8,ENSG00000144369.14,ENSG00000225960.1,ENSG00000249721.1,ENSG00000204983.15,ENSG00000219736.1
ENSG00000174697.5,ENSG00000271042.1,ENSG00000271042.1,ENSG00000153898.13,ENSG00000226038.5,ENSG00000167916.5,ENSG00000287838.1,ENSG00000136193.17,ENSG00000152611.12,ENSG00000227947.2,ENSG00000163499.12,ENSG00000232628.7
ENSG00000230390.1,ENSG00000259255.1,ENSG00000259255.1,ENSG00000183856.11,ENSG00000283164.1,ENSG00000171431.4,ENSG00000258098.2,ENSG00000257060.8,ENSG00000233884.2,ENSG00000234186.5,ENSG00000258088.1,ENSG00000178597.7
ENSG00000261472.1,ENSG00000259676.1,ENSG00000259676.1,ENSG00000184232.9,ENSG00000233705.8,ENSG00000223731.4,ENSG00000287592.1,ENSG00000205221.13,ENSG00000222713.1,ENSG00000179256.2,ENSG00000267795.6,ENSG00000141579.7
