	Coef_liver	Coef_artery_aorta	Coef_artery_coronary	Coef_brain_cortex	Coef_brain_cerebellum	Coef_heart_atrial_appendage	Coef_adipose_subcutaneous	Coef_lung	Coef_skin_sun_exposed_lower_leg	Coef_nerve_tibial	Coef_colon_sigmoid	Coef_pancreas	Gene_name
ENSG00000244694.7		0.15188051638103067	0.5614836630663441			0.5794377938937743	0.42263298395342064	0.38819426622610753	0.7467619661068249	0.36533622292984147	0.3777768070216992	0.8608440123187047	PTCHD4
ENSG00000131080.14				0.25358253020563726		0.6050652939606422	0.3028117345985635	0.6824093891627928		0.39137879186619307	0.2684457143099128	0.4094341841994179	EDA2R
ENSG00000244681.1		0.14987479962178668				0.5576511327871299		0.452900895001554		0.37043740752264204	0.2529707759178056		MTHFD2P1
ENSG00000048540.14		0.12639296300131841	0.6205713062829961			0.38275839107881765	1.0871509066991105		1.049919302884027				LMO3
ENSG00000228526.6				0.16030160984918873		0.3135294482826712	0.40175951316555164				0.398995483818405		MIR34AHG
ENSG00000178163.7							-0.6953076100019412	-0.7309547284592542		-0.38235416153949275		-2.4330536070309776	ZNF518B
ENSG00000081803.15		0.20798225065321874	0.3630313810088794								0.1686800430758089		CADPS2
ENSG00000278530.4		0.11088365817702141					0.4477655543177595				0.15933253798331407		CHMP1B2P
ENSG00000255836.1				-0.19989234608252052			-0.4953279499985798					-0.7798722733204031	Gene symbol not found
ENSG00000163071.10				0.16693008478211363		0.29130414393357923						0.6324982890721389	SPATA18
ENSG00000250337.5						0.5305707775316267				0.18926574045860978	0.2627061314427526		PURPL
ENSG00000112319.17							1.5018960043104783			0.2267566957001646	0.41382301462059107		EYA4
ENSG00000172667.10							0.3081169461637611		0.4124153584993982	0.20923339820329043			ZMAT3
ENSG00000147889.17								0.5923418535051878			0.29678288505409284	0.9055111460580124	CDKN2A
ENSG00000196109.6								0.296106078984975		0.3943630738317495	0.17729980227311518		ZNF676
