	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.2858617919865276	VENTX
ENSG00000131080.14	0.25433934954348025	EDA2R
ENSG00000252581.1	0.2405775198622919	RNU6-1098P
ENSG00000208005.1	-0.21629071138103068	MIR503
ENSG00000267544.1	-0.21046879745293048	HIKESHIP2
ENSG00000255836.1	-0.19745970172449392	Gene symbol not found
ENSG00000197376.2	0.19279553709535538	Gene symbol not found
ENSG00000233429.9	0.19061218967018423	HOTAIRM1
ENSG00000259124.1	-0.1830664076205151	Gene symbol not found
ENSG00000088836.12	0.18138486409578064	SLC4A11
ENSG00000207186.1	0.17874798126822852	RNA5SP122
ENSG00000187013.4	0.17860991134303258	LINC02875
ENSG00000259792.1	0.17077562171486257	Gene symbol not found
ENSG00000163071.10	0.16671390520393556	SPATA18
ENSG00000280710.2	-0.1666052380371036	
ENSG00000267773.1	-0.16389702707356923	Gene symbol not found
ENSG00000267799.1	-0.1632874966657169	MAN1A2P1
ENSG00000248476.1	-0.15897551237274016	BACH1-IT1
ENSG00000228526.6	0.1581458331094904	MIR34AHG
ENSG00000202517.1	-0.15678765086833232	Gene symbol not found
ENSG00000278318.4	-0.15565354199674172	ZNF229
ENSG00000230453.9	0.15284629226472	ANKRD18B
ENSG00000173908.8	-0.15103229731229806	KRT28
ENSG00000248646.1	-0.14819287950377996	
ENSG00000254294.1	-0.14604822916510177	IMPDH1P6
ENSG00000172426.15	-0.14559905891468827	RSPH9
ENSG00000230931.2	-0.14474147864145445	GXYLT1P1
ENSG00000168418.7	0.14374576766506414	KCNG4
ENSG00000196862.9	-0.14362303518165953	RGPD4
ENSG00000283377.1	-0.14215838761640406	Gene symbol not found
ENSG00000255794.7	0.14124312057201757	RMST
ENSG00000214121.4	-0.14062731946652482	PRDX1P1
ENSG00000274904.1	-0.13961972412810272	Gene symbol not found
ENSG00000225075.1	0.1390869231671787	Gene symbol not found
ENSG00000273687.1	0.13703700300219174	Gene symbol not found
ENSG00000277697.1	-0.13640273755311963	
ENSG00000259742.1	-0.13552217486453993	Gene symbol not found
ENSG00000276556.1	-0.1346193085971573	Gene symbol not found
ENSG00000258550.1	-0.13342647199208102	OR7E106P
ENSG00000162722.8	-0.13277602764109567	TRIM58
ENSG00000164399.4	-0.1327705470293289	IL3
ENSG00000244308.2	-0.1327092224835027	RN7SL762P
ENSG00000253642.5	0.13116028857263862	Gene symbol not found
ENSG00000172680.1	-0.13026406779150468	MOS
ENSG00000207010.1	-0.12974167890902952	RNU6-318P
ENSG00000214415.3	-0.1255209962705011	GNAT3
ENSG00000134982.16	-0.12477166089370716	APC
ENSG00000178343.4	0.1247560318482544	SHISA3
ENSG00000224805.2	0.12470792914703456	LINC00853
ENSG00000236380.5	-0.12449151220229247	VENTXP7
